P,Player,Week,Team,Opp,Opp Rank,FDSal,DKSal,FD Points,DK Points
WR,Cooper Kupp,2,LAR,IND,28,6200,6000,32.3,39.8
WR,Tyler Lockett,2,SEA,TEN,32,7200,7200,27.8,34.8
WR,Terry McLaurin,2,WAS,NYG,10,6500,6200,22.2,30.7
WR,Mike Evans,2,TB,ATL,17,6700,6100,22,24.5
WR,Rondale Moore,2,ARI,MIN,24,4900,4000,20.9,27.4
WR,Courtland Sutton,2,DEN,JAX,16,6200,5200,20.4,27.9
WR,Marquise Brown,2,BAL,KC,11,6200,5600,20.3,26.3
WR,Henry Ruggs III,2,LV,PIT,18,5500,4200,20,25.5
WR,Mike Williams,2,LAC,DAL,27,5600,6100,18.6,22.1
WR,Freddie Swain,2,SEA,TEN,32,4500,3400,18.5,21
WR,Brandin Cooks,2,HOU,CLE,20,6600,5900,18.3,22.8
WR,DJ Moore,2,CAR,NO,4,6700,5900,17.9,21.9
WR,K.J. Osborn,2,MIN,ARI,8,4600,3300,17.6,20.1
WR,Michael Pittman Jr.,2,IND,LAR,3,5200,4300,16.3,23.3
WR,Davante Adams,2,GB,DET,26,8300,8300,16.1,23.1
WR,Julio Jones,2,TEN,SEA,15,6300,6300,15.8,21.8
WR,Calvin Ridley,2,ATL,TB,31,7700,7500,15.8,19.3
WR,Justin Jefferson,2,MIN,ARI,8,7300,7400,15.5,18.5
WR,Diontae Johnson,2,PIT,LV,12,6600,6400,15,22.5
WR,Marvin Jones Jr.,2,JAX,DEN,23,6100,4700,14.5,17.5
WR,Quintez Cephus,2,DET,GB,13,5200,3400,14.3,16.3
WR,Chris Godwin,2,TB,ATL,17,8000,6600,14.2,16.2
WR,Stefon Diggs,2,BUF,MIA,5,7500,7700,14,16
WR,DeAndre Hopkins,2,ARI,MIN,24,8500,8000,13.4,15.4
WR,JuJu Smith-Schuster,2,PIT,LV,12,6000,5700,13.4,16.4
WR,CeeDee Lamb,2,DAL,LAC,2,6800,6400,13.4,17.4
WR,Byron Pringle,2,KC,BAL,21,4700,3200,13.3,14.3
WR,Deebo Samuel,2,SF,PHI,1,6900,6700,13.1,16.1
WR,Tee Higgins,2,CIN,CHI,30,6000,5400,13,17
WR,Sterling Shepard,2,NYG,WAS,25,6100,5500,13,17.5
WR,Darius Slayton,2,NYG,WAS,25,5200,4000,12.9,14.4
WR,Adam Thielen,2,MIN,ARI,8,7600,7100,12.9,15.9
WR,Keenan Allen,2,LAC,DAL,27,7400,7000,12.8,17.8
WR,Quez Watkins,2,PHI,SF,7,4800,3200,12.7,16.7
WR,Ja'Marr Chase,2,CIN,CHI,30,5500,5000,12.4,13.4
WR,Zach Pascal,2,IND,LAR,3,5100,4400,12.3,14.8
WR,Demarcus Robinson,2,KC,BAL,21,4700,3800,12.1,13.6
WR,Brandon Zylstra,2,CAR,NO,4,4500,3000,11.9,13.4
WR,A.J. Green,2,ARI,MIN,24,5300,3700,11.9,13.4
WR,Tim Patrick,2,DEN,JAX,16,5400,4600,11.2,12.7
WR,Tyler Boyd,2,CIN,CHI,30,5700,4700,10.8,14.3
WR,Braxton Berrios,2,NYJ,NE,6,4700,3600,10.8,14.3
WR,Darnell Mooney,2,CHI,CIN,29,5500,4200,9.6,12.6
WR,Robert Woods,2,LAR,IND,28,6500,5700,9.5,12
WR,Allen Robinson II,2,CHI,CIN,29,7200,6200,9.4,10.4
WR,Jauan Jennings,2,SF,PHI,1,4500,3000,8.7,9.7
WR,DK Metcalf,2,SEA,TEN,32,7000,7600,8.3,11.3
WR,Chase Claypool,2,PIT,LV,12,5900,5600,8.2,9.7
WR,Hunter Renfrow,2,LV,PIT,18,5000,3600,8.2,10.7
WR,Christian Kirk,2,ARI,MIN,24,5600,5000,8,9.5
WR,Mecole Hardman,2,KC,BAL,21,5200,4700,8,10.5
