P,Player,Week,Team,Opp,Opp Rank,FDSal,,DK Salary,FD Points,DK Points,DK Multiplier
WR,Ja'Marr Chase,17,CIN,KC,12,7600,7600,7.6,50.1,58.6,7.7
WR,Gabriel Davis,20,BUF,KC,22,5300,4600,4.6,48.1,55.1,12.0
WR,Tyreek Hill,4,KC,PHI,2,8200,8000,8,42.1,50.6,6.3
WR,Tee Higgins,16,CIN,BAL,23,6500,6200,6.2,37.4,46.4,7.5
WR,Justin Jefferson,11,MIN,GB,5,7900,8100,8.1,33.2,40.2,5.0
WR,Cooper Kupp,7,LAR,DET,9,8800,8400,8.4,32.6,40.6,4.8
WR,Mike Williams,5,LAC,CLE,6,7700,7200,7.2,32.5,39.5,5.5
WR,Cooper Kupp,2,LAR,IND,28,6200,6000,6,32.3,39.8,6.6
WR,Davante Adams,5,GB,CIN,15,8200,8200,8.2,32.1,40.6,5.0
WR,Deebo Samuel,4,SF,SEA,20,6900,6500,6.5,31.7,38.7,6.0
WR,CeeDee Lamb,6,DAL,NE,8,7000,6500,6.5,31.6,39.1,6.0
WR,Cooper Kupp,21,LAR,SF,18,9700,8800,8.8,31.5,40,4.5
WR,Amon-Ra St. Brown,17,DET,SEA,7,6900,6000,6,31.4,38.4,6.4
WR,Cooper Kupp,15,LAR,SEA,6,9500,8800,8.8,30.2,37.7,4.3
WR,Ja'Marr Chase,7,CIN,BAL,6,7500,6200,6.2,30.1,37.1,6.0
WR,Justin Jefferson,13,MIN,DET,12,8000,8200,8.2,30.1,38.6,4.7
WR,Mike Williams,3,LAC,KC,18,6000,6400,6.4,29.7,36.2,5.7
WR,Cooper Kupp,6,LAR,NYG,13,8200,7900,7.9,29.5,37,4.7
WR,Davante Adams,14,GB,CHI,23,8400,8600,8.6,29.1,37.1,4.3
WR,Marquise Brown,5,BAL,IND,24,6800,5800,5.8,29,36.5,6.3
WR,Danny Amendola,18,HOU,TEN,30,4700,3000,3,28.8,35.3,11.8
WR,Mike Evans,7,TB,CHI,21,7100,6500,6.5,28.6,31.6,4.9
WR,Davante Adams,16,GB,CLE,10,8800,8700,8.7,28.4,36.4,4.2
WR,DK Metcalf,17,SEA,DET,10,6600,6500,6.5,27.9,30.9,4.8
WR,DJ Moore,4,CAR,DAL,24,7300,6600,6.6,27.9,34.9,5.3
WR,Antonio Brown,5,TB,MIA,12,6500,5200,5.2,27.9,34.4,6.6
WR,Tyler Lockett,2,SEA,TEN,32,7200,7200,7.2,27.8,34.8,4.8
WR,Deebo Samuel,10,SF,LAR,8,7700,7400,7.4,27.8,30.3,4.1
WR,Terry McLaurin,4,WAS,ATL,22,7100,6900,6.9,27.3,33.3,4.8
WR,Davante Adams,11,GB,MIN,26,8400,8400,8.4,27,33.5,4.0
WR,Deebo Samuel,18,SF,LAR,7,8800,8500,8.5,26.96,28.96,3.4
WR,Cooper Kupp,20,LAR,TB,11,9500,8600,8.6,26.8,35.3,4.1
WR,Tyreek Hill,15,KC,LAC,2,8300,8300,8.3,26.8,35.8,4.3
WR,A.J. Brown,8,TEN,IND,26,7600,6900,6.9,26.5,34.5,5.0
WR,Diontae Johnson,13,PIT,BAL,20,7200,6800,6.8,26.5,33.5,4.9
WR,Cedrick Wilson,18,DAL,PHI,2,5600,4200,4.2,26.4,31.9,7.6
WR,Tyreek Hill,20,KC,BUF,1,8200,6600,6.6,26.3,34.8,5.3
WR,Mike Evans,5,TB,MIA,12,7000,6800,6.8,26.3,32.3,4.8
WR,Stefon Diggs,10,BUF,NYJ,8,7900,7500,7.5,26.2,33.2,4.4
WR,Cooper Kupp,3,LAR,TB,28,7900,6800,6.8,26.1,30.6,4.5
WR,A.J. Brown,16,TEN,SF,21,6800,6300,6.3,26,34.5,5.5
WR,Brandin Cooks,15,HOU,JAX,19,6900,5800,5.8,25.7,32.2,5.6
WR,Michael Pittman Jr.,8,IND,TEN,32,6600,5300,5.3,25.6,30.6,5.8
WR,CeeDee Lamb,10,DAL,ATL,20,7700,7000,7,25.6,28.6,4.1
WR,Elijah Moore,11,NYJ,MIA,27,5900,4900,4.9,25.6,32.6,6.7
WR,Davante Adams,3,GB,SF,5,8200,8300,8.3,25.2,34.2,4.1
WR,Davante Adams,17,GB,MIN,32,8700,9300,9.3,25.1,33.6,3.6
WR,Ja'Marr Chase,5,CIN,GB,11,7300,5800,5.8,24.9,30.9,5.3
WR,Cooper Kupp,14,LAR,ARI,13,9000,9200,9.2,24.8,34.3,3.7
WR,Tyler Lockett,14,SEA,HOU,21,7300,6700,6.7,24.7,30.2,4.5
WR,Kadarius Toney,5,NYG,DAL,30,5300,4000,4,24.6,32.6,8.2
WR,Kendrick Bourne,19,NE,BUF,1,5600,4400,4.4,24.6,28.1,6.4
WR,Tyler Lockett,18,SEA,ARI,28,6900,6400,6.4,24.5,27,4.2
WR,Jauan Jennings,18,SF,LAR,7,5000,3600,3.6,24.4,27.4,7.6
WR,DK Metcalf,5,SEA,LAR,16,7400,7000,7,24.3,26.8,3.8
WR,Adam Thielen,6,MIN,CAR,6,7200,5800,5.8,24.3,32.8,5.7
WR,Tee Higgins,13,CIN,LAC,2,6600,5800,5.8,24.3,31.8,5.5
WR,Jaylen Waddle,12,MIA,CAR,4,6700,5900,5.9,24.2,31.7,5.4
WR,Donovan Peoples-Jones,6,CLE,ARI,23,5100,3500,3.5,24.1,29.1,8.3
WR,Jaylen Waddle,6,MIA,JAX,12,5500,4900,4.9,24,29,5.9
WR,Chris Godwin,8,TB,NO,22,7200,6400,6.4,24,31,4.8
WR,Tyreek Hill,10,KC,LV,3,8400,7700,7.7,24,27.5,3.6
WR,Emmanuel Sanders,3,BUF,WAS,23,5200,4200,4.2,23.9,26.4,6.3
WR,Elijah Moore,9,NYJ,IND,25,5200,4200,4.2,23.9,27.4,6.5
WR,Mike Evans,18,TB,CAR,6,7800,7100,7.1,23.9,26.9,3.8
WR,Isaiah McKenzie,16,BUF,NE,4,4600,3000,3,23.9,32.4,10.8
WR,Deebo Samuel,16,SF,TEN,31,8800,8300,8.3,23.6,31.1,3.7
WR,A.J. Brown,7,TEN,KC,17,7000,6300,6.3,23.3,30.3,4.8
WR,Cooper Kupp,18,LAR,SF,22,10000,9700,9.7,23.1,29.6,3.1
WR,Russell Gage,18,ATL,NO,14,5700,5600,5.6,23.1,30.6,5.5
WR,Gabriel Davis,15,BUF,CAR,5,4900,3700,3.7,23,25.5,6.9
WR,Cooper Kupp,13,LAR,JAX,19,9000,9000,9,22.9,29.9,3.3
WR,Ja'Marr Chase,14,CIN,SF,14,7200,6900,6.9,22.8,25.3,3.7
WR,Chris Godwin,13,TB,ATL,23,7600,6600,6.6,22.7,33.2,5.0
WR,A.J. Brown,20,TEN,CIN,15,7600,6200,6.2,22.7,28.2,4.5
WR,Byron Pringle,16,KC,PIT,18,5200,3300,3.3,22.5,25.5,7.7
WR,Marquez Callaway,5,NO,WAS,23,5400,4700,4.7,22.5,24.5,5.2
WR,Mike Williams,18,LAC,LV,2,6700,6100,6.1,22.4,29.9,4.9
WR,Justin Jefferson,3,MIN,SEA,13,7400,7200,7.2,22.3,29.8,4.1
WR,Terry McLaurin,2,WAS,NYG,10,6500,6200,6.2,22.2,30.7,5.0
WR,Amari Cooper,8,DAL,MIN,19,6900,6100,6.1,22.2,29.2,4.8
WR,Hunter Renfrow,14,LV,KC,9,6700,6100,6.1,22.2,32.7,5.4
WR,Mike Evans,19,TB,PHI,2,8200,6900,6.9,22.2,29.7,4.3
WR,Amon-Ra St. Brown,18,DET,GB,12,7500,6800,6.8,22.1,29.1,4.3
WR,Kendrick Bourne,10,NE,CLE,18,5500,4600,4.6,22.1,24.1,5.2
WR,Mike Evans,2,TB,ATL,17,6700,6100,6.1,22,24.5,4.0
WR,Allen Lazard,18,GB,DET,20,5500,4600,4.6,22,24.5,5.3
WR,Mike Evans,20,TB,LAR,17,8300,6800,6.8,21.9,28.9,4.3
WR,Braxton Berrios,17,NYJ,TB,13,5300,3700,3.7,21.7,26.7,7.2
WR,Terry McLaurin,7,WAS,GB,8,7200,6900,6.9,21.7,28.2,4.1
WR,Chase Claypool,5,PIT,DEN,13,6000,6000,6,21.5,27,4.5
WR,Courtland Sutton,5,DEN,PIT,28,6100,5500,5.5,21.5,28,5.1
WR,Amon-Ra St. Brown,16,DET,ATL,28,6500,5600,5.6,21.5,26,4.6
WR,Randall Cobb,4,GB,PIT,26,4900,3300,3.3,21.4,23.9,7.2
WR,Tyreek Hill,8,KC,NYG,17,8200,8300,8.3,21.4,27.4,3.3
WR,Chris Godwin,7,TB,CHI,21,6700,5900,5.9,21.1,28.1,4.8
WR,Robert Woods,5,LAR,SEA,22,6300,5500,5.5,21,30,5.5
WR,Cooper Kupp,8,LAR,HOU,6,9200,9000,9,21,27.5,3.1
WR,Rondale Moore,2,ARI,MIN,24,4900,4000,4,20.9,27.4,6.9
WR,Adam Thielen,12,MIN,SF,7,7200,6700,6.7,20.7,23.2,3.5
WR,DeVonta Smith,10,PHI,DEN,12,6200,5900,5.9,20.6,22.6,3.8
WR,Darnell Mooney,11,CHI,BAL,14,6000,5200,5.2,20.6,26.1,5.0
WR,Kendrick Bourne,12,NE,TEN,32,5800,4900,4.9,20.6,23.1,4.7
WR,Ja'Marr Chase,3,CIN,PIT,22,5900,5400,5.4,20.5,22.5,4.2
WR,Courtland Sutton,2,DEN,JAX,16,6200,5200,5.2,20.4,27.9,5.4
WR,Tee Higgins,12,CIN,PIT,22,6200,5400,5.4,20.4,26.4,4.9
